subject_id,rt_μ,rt_σ,rt_shift,β_trial,β_anticipation,β_zero_order,α_zero_order,αM,γ,λ,β_targets_2,β_targets_3,β_targets_4,β_targets_5,β_targets_6,β_targets_7,β_targets_8,β_targets_9,β_targets_10,β_targets_11,β_targets_12,β_targets_13,β_targets_14,β_targets_15,β_key_2
14969.0,-0.4930808384717074,-1.4411019423093794,0.28938541184608335,-0.12151901320342061,-5.807119183557845,-0.10459680062309545,-1.4662530494911095,-1.9485537955865952,1.667785154734164,0.47463763824386257,-0.03800839963420997,0.09527290823094074,0.020010997517397898,0.01956827596496829,0.022187865611198947,0.12068321902832836,0.08448626262630457,-0.015317579453984157,-0.022121426172298665,0.07265663792883562,0.03769418219666948,0.021855117902050105,0.10505137936979084,0.08814097828550464,-0.005402612839426416
14977.0,0.0198272961406723,-1.7919415408046344,-1.624035143470377,0.008325035657615856,-3.8328274586061957,-0.22009343073657878,-1.8027994543469583,-2.2179762921199644,1.0106653281826956,0.8175341216393944,-0.0003390924750939414,0.11178635929102626,0.03802286775851754,0.046517165841777806,0.029449845656718633,0.06480071898443628,0.02772551473910608,-0.06524459947881799,-0.04360308567776664,0.012493172413939735,0.006655634097075266,0.012086551732767011,0.10358307659906592,0.026348931112364894,-0.03146253195479336
14979.0,-0.2106298217318173,-1.451369811391637,-1.7346997105565136,0.07527300944499458,-4.258639220327386,-0.22954382403651993,-1.6329950886796254,-2.2017275415187063,1.289249476311483,-0.15845613240237488,-0.01871007522371206,0.08880912544846829,0.03478711065721851,0.06613155976317049,0.04630078442686456,0.06884421395609872,0.0711764216993544,0.0017564398163085193,-0.021078567470474447,0.05561914456098639,0.016251916951334214,0.04026795935724258,0.08859428235521662,0.00453467943148103,0.019649707555774845
14981.0,-0.29239550419598803,-1.4868784777890869,-0.7827889204728616,0.04512294502097345,-4.110447766329048,-0.07987346821668702,-1.634545585544683,-2.0295406115435246,1.0019459959738184,0.19429386127626425,-0.022797867328430015,0.06265369760264108,0.03351121628252152,0.024317212425853975,0.060842303770469904,0.08522985519708322,0.128998922927707,-0.029638472104616117,-0.043541366980768326,0.052186935450249244,0.04074997130213542,0.03332066580208457,0.08855156070562947,0.021135739407849026,0.01174353768155215
14985.0,-0.8046947861302021,-1.0563464403721963,0.8946375323296658,0.011847688263064472,-7.5078717264652255,-0.19803836104309555,-1.4723193867411608,-1.6290159165251992,1.9939293188883986,0.5715077540712846,-0.04935087734381216,0.10019543734983445,0.02597844735887089,0.028621739040914182,0.07781439061641796,0.10119039885417064,0.019216570596287313,0.03572266173892556,-0.051968976507278296,0.042728697406898365,0.04817966715291603,0.032137139759917444,0.10131292813001709,0.08270213868746697,-0.008713739277267525
14999.0,-0.4779120070174821,-1.4957460808447716,-0.6873945733577261,-0.00918121937133208,-1.6521135012707513,-0.09672181615476805,-1.5414299257110384,-1.3224814542183898,1.1711564061617197,0.8778521137764393,-0.01473399015852465,0.08440067471486029,0.0368933492352417,0.02844106042101138,0.01950436401763,0.10587853529469167,0.058149836379605,-0.007416916516336202,-0.05022420703619094,0.04348355609747479,0.11645525283295327,0.03448667580706247,0.09211514744988927,0.05436943256846352,0.03422508387024039
15000.0,-0.5552993142190557,-1.4460340651958172,-0.06577384323426523,0.15683874184559082,-4.140774462917398,-0.14105885605977198,-1.5484250033639928,-1.9276734460350164,1.5401884993447343,0.3008746793137359,-0.06155003638389959,0.13590804362085826,0.0358947859639146,0.05900835743959677,0.0008376736252444598,0.10423089282744281,0.12108539636480839,0.05329844913645783,-0.041173335689457094,0.0573473489967817,0.07549373162814585,0.0006373435585963476,0.04257300842060768,0.04565696962587988,0.020173495759599366
15001.0,-0.5583531575238005,-1.206861183702661,-1.4273810245352263,-0.03580394076638112,1.2634833678366952,-0.1762567283554719,-1.4830187445709766,-1.518158011733756,1.2333025588715218,0.597997828021116,-0.0195052959371967,0.11492623917276458,0.041741620065844885,0.046006485862894554,0.035675060115577306,0.11345350854382322,0.013085082557078614,0.004448753822906965,-0.029476163880497164,0.05181022646563606,0.07452420956146795,0.03277007817841661,0.07023621547526669,0.047489271932643816,0.008992372492673423
15009.0,-0.9111713100589774,-1.5958254491240895,0.34260950487861414,-0.009344080648789175,-0.947132279277611,-0.2694980859817859,-1.5033812845965746,-0.8074160032575773,1.097687636918037,1.1390913055305805,-0.03413956236655758,0.11183864575183976,0.04197555234639869,0.036074754676716295,0.06544499220998251,0.09228673585612861,0.12182875303797498,-0.0030487613193764455,-0.07259378909010986,0.04114241358381954,0.041778715679451475,0.056304369321151265,0.10390698173555886,0.06314724974813843,0.027925269006658197
15010.0,-0.05221879183908109,-1.478520382210675,-2.2565028692898905,0.022709240623203574,-1.287225831811016,-0.2546775403384453,-1.7086829418865754,-2.077077864616505,0.950692383353457,0.13693573034443038,-0.03883563641971444,0.07252794739205208,0.04527801005015941,0.030295364643414188,0.05801917773856089,0.07421724381168916,0.009462777592198794,-0.006431449519931481,-0.034772891623745215,0.04485314873987536,0.04991508243707524,0.030349573796118037,0.08451765746212053,0.023397099928853617,-0.019361903567435442
15011.0,-0.12279769940539881,-1.5924552548125603,-2.0206766086382615,0.0065096975225870405,-2.686754695384311,-0.1485435459425728,-1.6758915251463988,-2.186157651685993,0.8688434774102797,-0.2251221257365377,-0.042475758193717496,0.050776906162356084,0.07524345621657963,0.019163936542182413,0.094912101911519,0.07061353773699282,0.006492177243107903,0.009051149575632439,-0.021061088516768585,0.007131538715788174,0.0716463112926607,0.018610259404347487,0.07585674893199573,0.01780682272212735,0.030622675095894645
15034.0,-0.5342579228676587,-1.1599769076943942,0.39584824078282166,0.06690809512456393,-5.1484645486871345,-0.19467110492524656,-1.46053995566158,-1.844872776921304,1.689682018234725,0.2715997916363293,-0.04922970484451084,0.11691917043057583,0.030810000039879378,-0.006186155728465733,0.06616512107471123,0.10422348753069936,0.08500613298779668,0.0379292665397764,-0.02397817318883286,0.050544899071764196,0.01943420518267487,0.020384749997050623,0.1272655018595357,0.06552711897037691,0.04301052401447951
